,direction,speed
651,270.0,1.0
652,180.0,1.0
653,250.0,2.0
654,320.0,1.0
655,320.0,1.0
656,50.0,5.0
657,220.0,2.0
658,50.0,4.0
659,140.0,3.0
660,140.0,2.0
661,230.0,2.0
662,180.0,2.0
663,90.0,3.0
664,360.0,2.0
665,140.0,4.0
666,160.0,2.0
667,320.0,3.0
668,50.0,2.0
669,220.0,4.0
670,360.0,5.0
671,270.0,1.0
672,70.0,2.0
673,320.0,3.0
674,250.0,3.0
675,270.0,3.0
676,290.0,1.0
677,320.0,2.0
678,50.0,2.0
679,180.0,1.0
680,160.0,2.0
681,50.0,3.0
682,230.0,3.0
683,20.0,2.0
684,230.0,3.0
685,160.0,4.0
686,90.0,3.0
687,50.0,1.0
688,270.0,1.0
689,40.0,1.0
690,90.0,1.0
691,50.0,2.0
692,70.0,2.0
693,140.0,4.0
694,140.0,2.0
695,140.0,1.0
696,140.0,3.0
697,360.0,1.0
698,270.0,4.0
699,70.0,1.0
700,320.0,3.0
701,220.0,2.0
702,320.0,2.0
703,290.0,4.0
704,230.0,9.0
705,70.0,3.0
706,50.0,2.0
707,320.0,3.0
708,230.0,1.0
709,180.0,2.0
710,200.0,2.0
711,90.0,2.0
712,180.0,1.0
713,50.0,5.0
714,250.0,5.0
715,290.0,1.0
716,50.0,6.0
717,180.0,3.0
718,160.0,1.0
719,40.0,2.0
720,50.0,4.0
721,50.0,2.0
722,270.0,2.0
723,140.0,2.0
724,250.0,8.0
725,290.0,6.0
726,90.0,2.0
727,360.0,1.0
728,200.0,4.0
729,160.0,2.0
730,360.0,2.0
731,50.0,3.0
732,110.0,1.0
733,70.0,2.0
734,70.0,3.0
735,160.0,4.0
736,200.0,2.0
737,230.0,3.0
738,90.0,3.0
739,50.0,2.0
740,180.0,3.0
741,270.0,1.0
742,140.0,6.0
743,270.0,6.0
744,140.0,2.0
745,230.0,6.0
746,50.0,1.0
747,50.0,3.0
748,90.0,1.0
749,200.0,2.0
750,50.0,3.0
751,40.0,1.0
752,270.0,3.0
753,180.0,2.0
754,250.0,2.0
755,200.0,3.0
756,230.0,2.0
757,50.0,2.0
758,180.0,2.0
759,160.0,2.0
760,50.0,3.0
761,270.0,5.0
762,70.0,3.0
763,70.0,3.0
764,140.0,3.0
765,140.0,2.0
766,180.0,2.0
767,20.0,5.0
768,230.0,5.0
769,360.0,1.0
770,180.0,1.0
771,90.0,1.0
772,70.0,2.0
773,360.0,1.0
774,290.0,2.0
775,200.0,4.0
776,90.0,2.0
777,250.0,3.0
778,90.0,2.0
779,230.0,6.0
780,340.0,2.0
781,250.0,4.0
782,250.0,4.0
783,90.0,2.0
784,50.0,3.0
785,250.0,2.0
786,230.0,9.0
787,250.0,4.0
788,250.0,4.0
789,250.0,3.0
790,230.0,1.0
791,250.0,5.0
792,200.0,2.0
793,40.0,4.0
794,140.0,2.0
795,230.0,3.0
796,220.0,2.0
797,90.0,3.0
798,250.0,7.0
799,140.0,2.0
800,140.0,2.0
801,320.0,4.0
802,140.0,4.0
803,320.0,2.0
804,220.0,4.0
805,320.0,2.0
806,220.0,4.0
807,70.0,4.0
808,140.0,2.0
809,70.0,2.0
810,140.0,2.0
811,320.0,1.0
812,250.0,3.0
813,110.0,2.0
814,250.0,6.0
815,50.0,2.0
816,50.0,3.0
817,250.0,7.0
818,70.0,2.0
819,140.0,2.0
820,50.0,1.0
821,140.0,2.0
822,50.0,4.0
823,140.0,2.0
824,250.0,1.0
825,320.0,3.0
826,90.0,2.0
827,320.0,4.0
828,320.0,2.0
829,160.0,2.0
830,250.0,5.0
831,180.0,2.0
832,140.0,1.0
833,250.0,7.0
834,270.0,3.0
835,270.0,7.0
836,320.0,3.0
837,220.0,1.0
838,70.0,5.0
839,320.0,3.0
840,140.0,1.0
841,110.0,1.0
842,360.0,2.0
843,270.0,2.0
844,50.0,1.0
845,140.0,2.0
846,90.0,2.0
847,140.0,2.0
848,90.0,1.0
849,360.0,1.0
850,250.0,11.0
851,160.0,3.0
852,220.0,2.0
853,50.0,2.0
854,250.0,2.0
855,50.0,1.0
856,320.0,3.0
857,90.0,2.0
858,250.0,3.0
859,320.0,2.0
860,270.0,1.0
861,150.0,1.0
862,340.0,5.0
863,140.0,2.0
864,140.0,3.0
865,270.0,2.0
866,90.0,2.0
867,250.0,2.0
868,270.0,3.0
869,200.0,3.0
870,360.0,2.0
871,270.0,1.0
872,250.0,7.0
873,360.0,1.0
874,320.0,1.0
875,50.0,3.0
876,180.0,1.0
877,160.0,1.0
878,160.0,1.0
879,50.0,1.0
880,90.0,2.0
881,270.0,4.0
882,180.0,1.0
883,50.0,3.0
884,320.0,4.0
885,40.0,1.0
886,220.0,2.0
887,140.0,2.0
888,230.0,2.0
889,140.0,1.0
890,230.0,1.0
891,320.0,3.0
892,140.0,5.0
893,140.0,2.0
894,320.0,3.0
895,20.0,2.0
896,290.0,6.0
